"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"S0010B","Byggkonstruktion brand","50% Lp4 Luleå 3+1","45077-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q023gZ6y5Y355176Y76Y.json"
"K0013B","Byggkonstruktion","50% Lp4 Luleå 3+4","45086-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q033gZ6y5Y355576Y76Y.json"
"P7014B","Bygglogistik","50% Lp2 Luleå 2+4","25864-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q093gZ6y5Y955776Y76Y.json"
"K0002B","Byggmaterial","50% Lp1 Luleå 1+2+5","15599-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q033gZ6y5Y855476Y76Y.json"
"K7019B","Byggmaterialens påverkan på inomhusmiljön: Uppfattning och verklighet","50% Lp3 Luleå","35030-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q083gZ6y5Y355176Y76Y.json"
"Y0003B","Byggmätning 1","50% Lp1 Luleå 3+6","15639-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q033gZ6y5Y855376Y76Y.json"
"W7011B","Byggnaden som system","50% Lp2 Luleå 1+6","25838-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y955476Y76Y.json"
"W0008B","Byggnadsfysik","50% Lp3 Luleå 3+6","35458-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q033gZ6y5Y255576Y76Y.json"
"B7004B","Byggnadsmekanik I","50% Lp3 Luleå 4","35510-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q053gZ6y5Y355276Y76Y.json"
"B7003B","Byggnadsmekanik II","50% Lp4 Luleå 4","45080-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q023gZ6y5Y355776Y76Y.json"
"P0007B","Byggprojektledning","50% Lp1 Luleå 1+5","15602-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q033gZ6y5Y855676Y76Y.json"
"W7010B","Byggstyrning och -ledning","50% Lp3 Luleå 3+4","35487-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q003gZ6y5Y355776Y76Y.json"
"W7007B","Byggteknik","50% Lp3 Luleå 2+5","35509-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q053gZ6y5Y355176Y76Y.json"
"W0007B","CAD & VR","50% Lp3 Luleå 4+6","35506-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q053gZ6y5Y355476Y76Y.json"
"T7005K","Cellulosa - och pappersteknik","50% Lp4 Luleå 4+5","45011-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q013gZ6y5Y355476Y76Y.json"
"W0024E","Compositing","50% Lp4 Skellefteå","47532-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q023gZ6y5Y355276Y76Y.json"
"L0008N","Corporate Social Responsibility, CSR","25% Lp1-2 Ortsoberoende","10166-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q083gZ6y5Y955476Y76Y.json"
"M7038N","Cross-cultural management","50% Lp1 Luleå 3+4","10809-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y855876Y76Y.json"
"M7010N","Customer Relationship Management","50% Lp1 Luleå 2+3","10882-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q023gZ6y5Y855576Y76Y.json"
"D0057A","D1: introduktion till Teknisk design","50% Lp1-2 Luleå","10858-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q023gZ6y5Y855376Y76Y.json"
"D0060A","D2: Designstudio","50% Lp1-2 Luleå","10859-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q023gZ6y5Y855476Y76Y.json"
"V7002B","Dagvatten","25% Lp1-2 Ortsoberoende","15680-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q053gZ6y5Y955876Y76Y.json"
"V7002B","Dagvatten","50% Lp4 Luleå 1+6","45013-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q013gZ6y5Y355276Y76Y.json"
"G7004B","Damm II - dammar  och dammsäkerhet","50% Lp3 Luleå 3+4","35508-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q053gZ6y5Y355976Y76Y.json"
"D0025E","Data Mining","50% Lp1 Ortsoberoende","17047-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y855076Y76Y.json"
"D0025E","Data Mining","50% Lp1 Luleå","17283-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q083gZ6y5Y855476Y76Y.json"
"D0025E","Data Mining","50% Lp1 Ortsoberoende","17332-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q043gZ6y5Y855276Y76Y.json"
"D7054E","Data Science programmering","50% Lp3 Luleå","37006-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q003gZ6y5Y355676Y76Y.json"
"D7054E","Data Science programmering","50% Lp3 Ortsoberoende","37770-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv7Q003gZ6y5Y355576Y76Y.json"
"D0004N","Databaser I","50% Lp1 Ortsoberoende","17049-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y855176Y76Y.json"
"D0004N","Databaser I","50% Lp1 Luleå","17288-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q083gZ6y5Y855976Y76Y.json"
"D0004N","Databaser I","25% Lp3-4 Ortsoberoende","37114-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q063gZ6y5Y355876Y76Y.json"
"D0004N","Databaser I","25% Lp3-4 Ortsoberoende","37115-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q063gZ6y5Y355976Y76Y.json"
"D0005N","Databaser II","50% Lp3 Ortsoberoende","37009-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q053gZ6y5Y355176Y76Y.json"
"D0005N","Databaser II","50% Lp3 Luleå","37782-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q053gZ6y5Y355976Y76Y.json"
"L0003B","Databaser, en introduktion","50% Lp2 Ortsoberoende","25011-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y955876Y76Y.json"
"L0003B","Databaser, en introduktion","50% Lp2 Ortsoberoende","25890-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y955776Y76Y.json"
"L0003B","Databaser, en introduktion","50% Lp3 Ortsoberoende","35033-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q083gZ6y5Y355476Y76Y.json"
"L0003B","Databaser, en introduktion","50% Lp3 Ortsoberoende","35034-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q083gZ6y5Y355076Y76Y.json"
"D0018E","Databasteknik","50% Lp3 Luleå 1+2","37756-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y255976Y76Y.json"
"D0025N","Datakommunikation i informationssystem","50% Lp3 Ortsoberoende","37011-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q053gZ6y5Y355776Y76Y.json"
"D0025N","Datakommunikation i informationssystem","50% Lp3 Luleå","37786-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q053gZ6y5Y355676Y76Y.json"
"W0039E","Dataorienterad design","50% Lp2 Skellefteå","27691-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q043gZ6y5Y855576Y76Y.json"
"D0041D","Datastrukturer och algoritmer","50% Lp4 Skellefteå","47537-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q023gZ6y5Y355576Y76Y.json"
"D0015E","Datateknik och ingenjörsvetenskap","50% Lp1 Luleå 2+5","17292-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q083gZ6y5Y855576Y76Y.json"
"D0029E","Dator- och nätverkssäkerhet","50% Lp1 Luleå 3+6","17302-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q093gZ6y5Y855776Y76Y.json"
"D0002E","Datorkommunikation","50% Lp4 Luleå 2+3","47533-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q023gZ6y5Y355876Y76Y.json"
"D0007E","Datornätverk","50% Lp2 Skellefteå","27685-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q043gZ6y5Y855876Y76Y.json"
"R7020E","Datorseende och bildbehandling","50% Lp1 Luleå 1+3","17039-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q083gZ6y5Y855176Y76Y.json"
"R7020E","Datorseende och bildbehandling","50% Lp1 Ortsoberoende","17260-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q083gZ6y5Y855076Y76Y.json"
"S0012E","Datorspel i ett systemperspektiv","100% Lp4 Skellefteå","47526-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q023gZ6y5Y355776Y76Y.json"
"S0011E","Datorspelsmotorers arkitektur","100% Lp3 Skellefteå","37771-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q003gZ6y5Y355576Y76Y.json"
"P7006B","Datorstödd byggproduktion","50% Lp1 Luleå 1+6","15636-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q033gZ6y5Y855976Y76Y.json"
"D0005A","Datorstödd industriell design","50% Lp1 Luleå 1+4","10796-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv9Q013gZ6y5Y855076Y76Y.json"
"D0005A","Datorstödd industriell design","50% Lp3 Luleå 4+6","30667-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q053gZ6y5Y355676Y76Y.json"
"M0010T","Datorstödd konstruktion","50% Lp1 Luleå","18310-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q093gZ6y5Y855676Y76Y.json"
"M0010T","Datorstödd konstruktion","50% Lp3 Luleå 3+4","38994-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q053gZ6y5Y355676Y76Y.json"
"M0010T","Datorstödd konstruktion","50% Lp4 Luleå 2+4","48868-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q033gZ6y5Y355076Y76Y.json"
"W7003B","Datorstödd projektering","50% Lp4 Luleå 4+6","45014-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q013gZ6y5Y355376Y76Y.json"
"W0003T","Datorstött ingenjörsarbete","50% Lp4 Skellefteå","48830-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q093gZ6y5Y355976Y76Y.json"
"D0026D","Datorsystemadministration","50% Lp1 Skellefteå","17299-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv4Q083gZ6y5Y855476Y76Y.json"
"T7001T","Deformation och brott","50% Lp1 Luleå 3+6","18327-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q093gZ6y5Y855176Y76Y.json"
"D7012E","Deklarativa språk","50% Lp4 Luleå 1+5","47538-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q023gZ6y5Y355776Y76Y.json"
"S0063A","Demografi, demokrati och diskurs - rurala och urbana livsvillkor","50% Lp1 Luleå 1+2+6","10851-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q023gZ6y5Y855876Y76Y.json"
"S0031N","Demokrati, utveckling och demokratisering","50% Lp2 Ortsoberoende 4+5+6","20000-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q003gZ6y5Y955376Y76Y.json"
"S0031N","Demokrati, utveckling och demokratisering","50% Lp2 Luleå 4+5+6","20202-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q003gZ6y5Y955276Y76Y.json"
"T0005A","Den egna metoden","100% Lp1-2 Luleå","10863-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q023gZ6y5Y855676Y76Y.json"
"T0006A","Den självständiga konstnären, kandidatexamen i teater","100% Lp3-4 Luleå","30695-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q063gZ6y5Y355676Y76Y.json"
"M7011E","Design av dynamiska webbsystem","50% Lp2 Luleå 3+5","27706-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q003gZ6y5Y955576Y76Y.json"
"E7020E","Design av inbyggda system","50% Lp3 Luleå 3+6","37791-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q053gZ6y5Y355376Y76Y.json"
"I0006N","Design av IT","50% Lp2 Luleå","27010-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q073gZ6y5Y955776Y76Y.json"
"I0006N","Design av IT","50% Lp2 Ortsoberoende","27668-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q073gZ6y5Y955676Y76Y.json"
"G0005A","Design,genus och estetik","25% Lp1-2 Ortsoberoende","10170-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q043gZ6y5Y855976Y76Y.json"
"D0039A","Design: Interaktion och prototyper","50% Lp1-2 Luleå 1+2/2+4","10759-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y855076Y76Y.json"
"D0051A","Design: kontext och analys","50% Lp3 Luleå","30621-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q043gZ6y5Y255876Y76Y.json"
"D0045A","Design: projekt och fördjupning","50% Lp1-2 Luleå 3+5/3+5","10761-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y855676Y76Y.json"
"P7009K","Designer för hållbar processteknik","50% Lp3 Luleå 5+6","35011-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q083gZ6y5Y355776Y76Y.json"
"W0013E","Designprocesser och metoder för datorgrafik","100% Lp2 Skellefteå","27711-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv0Q003gZ6y5Y955376Y76Y.json"
"D7018A","Designvetenskap","50% Lp2 Luleå 3+4","20213-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv3Q003gZ6y5Y955576Y76Y.json"
"T0016G","Det konstnärliga vetandets grund","50% Lp3 Piteå","30694-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q063gZ6y5Y355476Y76Y.json"
"D0145G","Det musikaliska hantverket - Jazzmusiker 1","25% Lp1-2 Piteå","10768-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y855476Y76Y.json"
"D0147G","Det musikaliska hantverket - Jazzmusiker 2","25% Lp3-4 Piteå","30607-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q043gZ6y5Y255276Y76Y.json"
"D0163G","Det musikaliska hantverket - Jazzmusiker 3","25% Lp1-2 Piteå","10766-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y855276Y76Y.json"
"D0165G","Det musikaliska hantverket - Jazzmusiker 4","25% Lp3-4 Piteå","30605-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q043gZ6y5Y255976Y76Y.json"
"F0246G","Det musikaliska hantverket - Klassisk musiker 1","25% Lp1-2 Piteå","10776-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855276Y76Y.json"
"F0247G","Det musikaliska hantverket - Klassisk musiker 2","25% Lp3-4 Piteå","30615-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q043gZ6y5Y255776Y76Y.json"
"F0263G","Det musikaliska hantverket - Klassisk musiker 3","25% Lp1-2 Piteå","10777-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855376Y76Y.json"
"F0265G","Det musikaliska hantverket - Klassisk musiker 4","25% Lp3-4 Piteå","30616-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q043gZ6y5Y255876Y76Y.json"
"H0030G","Det musikaliska hantverket - Komposition 1","25% Lp1-2 Piteå","10775-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855176Y76Y.json"
"H0033G","Det musikaliska hantverket - Komposition 2","25% Lp3-4 Piteå","30613-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q043gZ6y5Y255576Y76Y.json"
"H0034G","Det musikaliska hantverket - Komposition 3","25% Lp1-2 Piteå","10774-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855976Y76Y.json"
"H0036G","Det musikaliska hantverket - Komposition 4","25% Lp3-4 Piteå","30614-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q043gZ6y5Y255676Y76Y.json"
"G0018G","Det musikaliska hantverket - Kyrkomusik 1","25% Lp1-2 Piteå","10772-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855776Y76Y.json"
"G0021G","Det musikaliska hantverket - Kyrkomusik 2","25% Lp3-4 Piteå","30612-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q073gZ6y5Y555676Y76Y.json"
"G0022G","Det musikaliska hantverket - Kyrkomusik 3","25% Lp1-2 Piteå","10773-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855876Y76Y.json"
"G0024G","Det musikaliska hantverket - Kyrkomusik 4","25% Lp3-4 Piteå","30611-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q073gZ6y5Y555776Y76Y.json"
"G0034G","Det musikaliska hantverket - Kyrkomusik 6","25% Lp3-4 Piteå","30643-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q073gZ6y5Y555876Y76Y.json"
"D0245G","Det musikaliska hantverket - Musikproduktion och låtskrivande 1","25% Lp1-2 Piteå","10869-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q023gZ6y5Y855376Y76Y.json"
"D0246G","Det musikaliska hantverket - Musikproduktion och låtskrivande 2","25% Lp3-4 Piteå","30692-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q063gZ6y5Y355776Y76Y.json"
"D0251G","Det musikaliska hantverket - Musikproduktion och låtskrivande 3","25% Lp1-2 Piteå","10873-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q023gZ6y5Y855676Y76Y.json"
"D0155G","Det musikaliska hantverket - Rockmusiker 1","25% Lp1-2 Piteå","10767-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q013gZ6y5Y855376Y76Y.json"
"D0156G","Det musikaliska hantverket - Rockmusiker 2","25% Lp3-4 Piteå","30606-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q043gZ6y5Y255176Y76Y.json"
"D0166G","Det musikaliska hantverket - Rockmusiker 3","25% Lp1-2 Piteå","10769-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855076Y76Y.json"
"D0171G","Det musikaliska hantverket - Rockmusiker 4","25% Lp3-4 Piteå","30608-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q043gZ6y5Y255376Y76Y.json"
"D0159G","Det musikaliska hantverket - Studiomusiker 1","25% Lp1-2 Piteå","10770-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855576Y76Y.json"
"D0160G","Det musikaliska hantverket - Studiomusiker 2","25% Lp3-4 Piteå","30609-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv2Q043gZ6y5Y255476Y76Y.json"
"D0168G","Det musikaliska hantverket - Studiomusiker 3","25% Lp1-2 Piteå","10771-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv6Q013gZ6y5Y855676Y76Y.json"
"D0173G","Det musikaliska hantverket - Studiomusiker 4","25% Lp3-4 Piteå","30610-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q043gZ6y5Y255076Y76Y.json"
"F7016B","Detaljplanering","50% Lp4 Luleå 3","45027-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q013gZ6y5Y355276Y76Y.json"
"M0052M","Differentialekvationer och transformteori","50% Lp3 Skellefteå","38001-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q003gZ6y5Y355276Y76Y.json"
"M0052M","Differentialekvationer och transformteori","50% Lp3 Luleå 1+6","38002-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q003gZ6y5Y355376Y76Y.json"
"M0052M","Differentialekvationer och transformteori","50% Lp3 Skellefteå","38003-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q003gZ6y5Y355476Y76Y.json"
"M0052M","Differentialekvationer och transformteori","50% Lp3 Luleå","38974-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q003gZ6y5Y355176Y76Y.json"
"M0047M","Differentialkalkyl","50% Lp1 Luleå","18001-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q093gZ6y5Y855376Y76Y.json"
"M0047M","Differentialkalkyl","50% Lp1 Luleå 1+4","18316-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q093gZ6y5Y855276Y76Y.json"
"M0047M","Differentialkalkyl","50% Lp1 Luleå","18346-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv5Q043gZ6y5Y855376Y76Y.json"
"M0047M","Differentialkalkyl","50% Lp3 Luleå 1+5","38973-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q003gZ6y5Y355976Y76Y.json"
"S7012E","Digital kommunikation","50% Lp3 Luleå 2+5","37762-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv9Q043gZ6y5Y255376Y76Y.json"
"S0023F","Digital ljudteknik","50% Lp1 Piteå C, D","10791-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q013gZ6y5Y855876Y76Y.json"
"W0011F","Digital Painting och idégestaltning","25% Lp1-2 Ortsoberoende","17125-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q053gZ6y5Y955076Y76Y.json"
"W0011F","Digital Painting och idégestaltning","25% Lp3-4 Ortsoberoende","37803-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q063gZ6y5Y355676Y76Y.json"
"D0058A","Digitala designverktyg","50% Lp3 Luleå","30664-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q053gZ6y5Y355176Y76Y.json"
"T7013T","Digitala fabriker","50% Lp4 Luleå 1+2","48841-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv6Q013gZ6y5Y355776Y76Y.json"
"W0005E","Digitala och analoga system","50% Lp1 Skellefteå","17274-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q083gZ6y5Y855276Y76Y.json"
"D0011E","Digitalteknik","50% Lp4 Luleå 1+5","47535-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv1Q023gZ6y5Y355376Y76Y.json"
"T7002B","Dimensionering av bergkonstruktioner","50% Lp3 Luleå 1+6","35461-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv3Q033gZ6y5Y255676Y76Y.json"
"K7022B","Dimensionering av grundkonstruktioner","50% Lp2 Luleå 3+5","25886-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q093gZ6y5Y955976Y76Y.json"
"S0012F","Direktmixning multikanal 5.1","50% Lp2 Piteå C, D","20209-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q003gZ6y5Y955276Y76Y.json"
"S0015F","Direktsändning och distribution av ljud","50% Lp4 Piteå C+D","40376-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q013gZ6y5Y355176Y76Y.json"
"T7018T","Diskret händelsestyrd simulering av produktionssystem","50% Lp2 Luleå 3+5","28837-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q003gZ6y5Y955076Y76Y.json"
"M0009M","Diskret matematik","50% Lp2 Luleå 2+6","28839-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q003gZ6y5Y955676Y76Y.json"
"M0009M","Diskret matematik","50% Lp2 Luleå","28870-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv7Q093gZ6y5Y955376Y76Y.json"
