"kurskod","namn","kommentar","signatur","spec_benämning","api_url"
"A7024H","Arbetsterapi: Evidens, förbättringskunskap och verksamhetsutveckling i hälso- och sjukvård","50% Lp4 Luleå","43521-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q023gZ6y5Y355476Y76Y.json"
"A0038H","Arbetsterapi: Examensarbete","50% Lp3-4 Luleå","33245-V24.1","Grupp 1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q013gZ6y5Y455976Y76Y.json"
"A0038H","Arbetsterapi: Examensarbete","50% Lp3-4 Luleå","33245-V24.2","Grupp 2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q013gZ6y5Y455176Y76Y.json"
"A0038H","Arbetsterapi: Examensarbete","50% Lp3-4 Luleå","33245-V24.3","Grupp 3","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q013gZ6y5Y455276Y76Y.json"
"A0038H","Arbetsterapi: Examensarbete","50% Lp3-4 Luleå","33245-V24.4","Grupp 4","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q013gZ6y5Y455376Y76Y.json"
"A0038H","Arbetsterapi: Examensarbete","50% Lp3-4 Luleå","33245-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv0Q053gZ6y5Y355376Y76Y.json"
"A0049H","Arbetsterapi: Hälsofrämjande insatser för aktivitet och delaktighet i samhället","100% Lp4 Luleå","43538-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q023gZ6y5Y355476Y76Y.json"
"A0047H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 1","100% Lp2 Luleå","23632-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y955276Y76Y.json"
"A0048H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 2","50% Lp3 Luleå","33241-V24.1","Grupp 1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y455676Y76Y.json"
"A0048H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 2","50% Lp3 Luleå","33241-V24.2","Grupp 2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y455876Y76Y.json"
"A0048H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 2","50% Lp3 Luleå","33241-V24.3","Grupp 3","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y455976Y76Y.json"
"A0048H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 2","50% Lp3 Luleå","33241-V24.4","Grupp A","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y455176Y76Y.json"
"A0048H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 2","50% Lp3 Luleå","33241-V24.5","Grupp B","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q023gZ6y5Y455776Y76Y.json"
"A0048H","Arbetsterapi: Interventioner för aktivitet vid olika ohälsotillstånd, del 2","50% Lp3 Luleå","33241-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q003gZ6y5Y355576Y76Y.json"
"A0045H","Arbetsterapi: Pedagogik i förändringsprocesser","50% Lp2 Luleå","23630-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y955976Y76Y.json"
"A0029H","Arbetsterapi: Professionell utveckling för nya arenor","50% Lp3 Luleå","33207-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv4Q043gZ6y5Y255576Y76Y.json"
"A0044H","Arbetsterapi: Professionen och ämnet","100% Lp1 Luleå","13970-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q023gZ6y5Y855676Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.1","Halvklass A","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y755476Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.2","Halvklass B","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv1Q013gZ6y5Y755376Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.3","Basgr A1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q013gZ6y5Y755076Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.4","Basgr A2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q013gZ6y5Y755676Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.5","Basgr B1","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q013gZ6y5Y755776Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.6","Basgr B2","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv2Q013gZ6y5Y755576Y76Y.json"
"A0046H","Arbetsterapi: Utredning av behov och förutsättningar för aktivitet","100% Lp4 Luleå","43536-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv8Q023gZ6y5Y355376Y76Y.json"
"A0041H","Arbetsterapi: Verksamhetsförlagd utbildning 2","100% Lp3 Luleå","33276-V24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ730Z50Qv5Q063gZ6y5Y355276Y76Y.json"
"A0042H","Arbetsterapi: Verksamhetsförlagd utbildning 3","50% Lp2 Luleå","23695-H24.k","","https://cloud.timeedit.net/ltu/web/schedule1/ri178XQQ740Z50Qv8Q093gZ6y5Y955176Y76Y.json"
